date,value
2002-01-01,50.900472
2002-02-01,50.86775
2002-03-01,51.127948
2002-04-01,51.407235
2002-05-01,51.511429
2002-06-01,51.762586
2002-07-01,51.911181
2002-08-01,52.10856
2002-09-01,52.421984
2002-10-01,52.653036
2002-11-01,53.078877
2002-12-01,53.30993
2003-01-01,53.525441
2003-02-01,53.674122
2003-03-01,54.01293
2003-04-01,54.105144
2003-05-01,53.93056
2003-06-01,53.975112
2003-07-01,54.053339
2003-08-01,54.21549
2003-09-01,54.538238
2003-10-01,54.738207
2003-11-01,55.192542
2003-12-01,55.429811
2004-01-01,55.774317
2004-02-01,56.107945
2004-03-01,56.298071
2004-04-01,56.383032
2004-05-01,56.241603
2004-06-01,56.331745
2004-07-01,56.47939
2004-08-01,56.828041
2004-09-01,57.297917
2004-10-01,57.694747
2004-11-01,58.186899
2004-12-01,58.307088
2005-01-01,58.30916
2005-02-01,58.503431
2005-03-01,58.767121
2005-04-01,58.976415
2005-05-01,58.828251
2005-06-01,58.771783
2005-07-01,59.0018
2005-08-01,59.072255
2005-09-01,59.309006
2005-10-01,59.45458
2005-11-01,59.882493
2005-12-01,60.250312
2006-01-01,60.603626
2006-02-01,60.696358
2006-03-01,60.772512
2006-04-01,60.861617
2006-05-01,60.590675
2006-06-01,60.642998
2006-07-01,60.809294
2006-08-01,61.119609
2006-09-01,61.736612
2006-10-01,62.006519
2006-11-01,62.331857
2006-12-01,62.692424
2007-01-01,63.016208
2007-02-01,63.192347
2007-03-01,63.329113
2007-04-01,63.291295
2007-05-01,62.982534
2007-06-01,63.05817
2007-07-01,63.326005
2007-08-01,63.583996
2007-09-01,64.077703
2007-10-01,64.327405
2007-11-01,64.781221
2007-12-01,65.049056
2008-01-01,65.350564
2008-02-01,65.544834
2008-03-01,66.019891
2008-04-01,66.170127
2008-05-01,66.098635
2008-06-01,66.372168
2008-07-01,66.742059
2008-08-01,67.127492
2008-09-01,67.584935
2008-10-01,68.045486
2008-11-01,68.818942
2008-12-01,69.295552
2009-01-01,69.456149
2009-02-01,69.609494
2009-03-01,70.00995
2009-04-01,70.25499
2009-05-01,70.050358
2009-06-01,70.179354
2009-07-01,70.370516
2009-08-01,70.538884
2009-09-01,70.892716
2009-10-01,71.107191
2009-11-01,71.476046
