date,value
2021-10-01,3.735731548471577
2021-07-01,-2.400694873767917
2021-04-01,3.5596466024611972
2021-01-01,-3.57576957277016
2020-10-01,7.245469459087861
2020-07-01,11.935770809046664
2020-04-01,-16.882090940358186
2020-01-01,-4.2037125542595755
2019-10-01,2.616657967908398
2019-07-01,-0.513499601020273
2019-04-01,1.233793082634671
2019-01-01,-3.911419718372322
2018-10-01,3.155555967501744
2018-07-01,-1.4116091912200424
2018-04-01,3.613747781916876
2018-01-01,-3.8805841355562753
2017-10-01,4.720151388427585
2017-07-01,-1.018595366131947
2017-04-01,1.8435225267223299
2017-01-01,-3.574521165083566
2016-10-01,4.483464097320011
2016-07-01,-0.8741682720524335
2016-04-01,3.581123958840182
2016-01-01,-3.9180392513695317
2015-10-01,3.0850935095924736
2015-07-01,0.40802795904488764
2015-04-01,3.2973995280073165
2015-01-01,-4.012749859731768
2014-10-01,4.55793409355949
2014-07-01,-0.5587278547536267
2014-04-01,3.597169904510067
2014-01-01,-4.031351721683329
2013-10-01,4.045939045918567
2013-07-01,-1.0741716618902997
2013-04-01,4.084510814300479
2013-01-01,-5.5236837574494935
2012-10-01,4.3005223073192544
2012-07-01,-0.4657898060413279
2012-04-01,2.610237211948707
2012-01-01,-3.2205758988566813
2011-10-01,3.951587087553299
2011-07-01,0.7329394566289116
2011-04-01,3.424288456064506
2011-01-01,-3.8508800211246585
2010-10-01,3.874638105783923
2010-07-01,-0.5130314105383782
2010-04-01,4.3604943828127185
2010-01-01,-3.4350982651589534
2009-10-01,4.574389267791679
2009-07-01,1.5628693127333282
2009-04-01,1.8963487364243692
2009-01-01,-9.077023760610158
2008-10-01,0.9717203611681269
2008-07-01,-2.644160703620757
2008-04-01,5.650494357496205
2008-01-01,-4.219092915920896
2007-10-01,2.852142291224302
2007-07-01,-1.4008967208466006
2007-04-01,4.165786827392615
2007-01-01,-2.7509811854447563
2006-10-01,2.5286294359708084
2006-07-01,-1.8001845501364189
2006-04-01,4.20006790492744
2006-01-01,-1.3879248570501823
2005-10-01,3.8047736606213522
2005-07-01,-2.2877943831171588
2005-04-01,5.616308589970198
2005-01-01,-3.72870035754308
2004-10-01,3.2279059697616796
2004-07-01,-2.1414848864752534
2004-04-01,3.6197072919022855
2004-01-01,-0.398910019620613
2003-10-01,2.7078105635121696
2003-07-01,-1.7296397558840049
2003-04-01,2.96490512069143
2003-01-01,-2.1459680495976574
2002-10-01,1.5062455517186324
2002-07-01,-1.6962061177868026
2002-04-01,5.612493064539259
2002-01-01,-3.766154838101188
