"","date","int_inf","pronostico","int_sup","value"
"1",2021-12-01,21.5989426509644,21.844972374439,22.093804578841,21.7333
"2",2021-12-02,21.4854432928841,21.8442553485757,22.2090596516488,21.4453
"3",2021-12-03,21.4022416173787,21.8426206475851,22.2920610506005,21.271
"4",2021-12-04,21.3560035886443,21.8618866743892,22.3797531677684,21.3033
"5",2021-12-05,21.3098055235545,21.876242490188,22.457735945104,21.3033
"6",2021-12-06,21.2658262213752,21.8862631340447,22.5248014813161,21.3033
"7",2021-12-07,21.2220924247748,21.8904374577323,22.5798306076303,21.4177
"8",2021-12-08,21.1917427630198,21.9021512464196,22.6363746759959,21.2047
"9",2021-12-09,21.1660034105507,21.9157538439189,22.6920622297467,21.0907
"10",2021-12-10,21.1421130620093,21.9291954679674,22.7455795199792,20.933
"11",2021-12-11,21.1188450466208,21.9414330170947,22.7960611378549,21.0328
"12",2021-12-12,21.0978605671252,21.9541649109102,22.8452243013907,21.0328
"13",2021-12-13,21.0789698100278,21.9675595645568,22.8936080639375,21.0328
"14",2021-12-14,21.0613218552376,21.9810432900278,22.9409278030629,20.8922
"15",2021-12-15,21.0444055883646,21.9942175665091,22.9868980775774,20.9383
"16",2021-12-16,21.0283838577482,22.007292803656,23.0317717149429,21.165
"17",2021-12-17,21.013286940952,22.0203851947521,23.0757503805967,21.2393
"18",2021-12-18,20.9990293413723,22.0334930957342,23.1189170750518,20.9238
"19",2021-12-19,20.9854815951542,22.0465523907823,23.1612731933559,20.9238
"20",2021-12-20,20.9725901814252,22.0595588558995,23.2028630086846,20.9238
"21",2021-12-21,20.9603451090157,22.072548214044,23.2437673200207,20.7337
"22",2021-12-22,20.9487219114888,22.0855415941545,23.2840528204074,20.7363
"23",2021-12-23,20.9376693524725,22.0985301350284,23.3237532749121,20.7823
"24",2021-12-24,20.9271412308674,22.1115040814795,23.3628954548332,20.7527
"25",2021-12-25,20.9171085063696,22.1244664436611,23.4015143760251,20.6582
"26",2021-12-26,20.907545887287,22.1374216412574,23.4396442109831,20.6582
"27",2021-12-27,20.8984245050267,22.1503681799652,23.4773109518376,20.6582
"28",2021-12-28,20.8897174701478,22.1633037351922,23.5145369084261,20.6112
"29",2021-12-29,20.8814023109141,22.1762280279631,23.5513440249735,20.6828
"30",2021-12-30,20.8734590069386,22.1891414149467,23.587753068087,20.577
"31",2021-12-31,20.865869005769,22.202044108396,23.6237830523557,20.5835
"32",2022-01-01,20.8586149888623,22.2149360720384,23.6594512602234,20.5157
"33",2022-01-02,20.8516808162033,22.2278171213172,23.6947734973378,20.5157
"34",2022-01-03,20.8450517141134,22.2406872543046,23.7297645660854,20.5157
"35",2022-01-04,20.8387141320009,22.2535466452187,23.7644383983579,20.4672
"36",2022-01-05,20.8326553399922,22.2663953511527,23.7988078736207,20.589
"37",2022-01-06,20.826863361641,22.2792333190366,23.832884897986,20.4742
"38",2022-01-07,20.8213270644344,22.292060550065,23.8666806409567,20.3977
"39",2022-01-08,20.8160360663647,22.3048770846281,23.9002055998673,20.4588
"40",2022-01-09,20.8109806042386,22.3176829344587,23.9334695964103,20.4588
"41",2022-01-10,20.8061514998334,22.3304781005602,23.9664818456979,20.4588
"42",2022-01-11,20.8015401292833,22.3432625921197,23.9992510245738,20.4237
"43",2022-01-12,20.797138368547,22.356036417581,24.0317853085057,20.4453
"44",2022-01-13,20.7929385546412,22.3687995855691,24.0640924121652,20.3785
"45",2022-01-14,20.7889334523873,22.3815521074295,24.0961796277268,20.366
"46",2022-01-15,20.7851162171643,22.3942939924908,24.1280538526877,20.3607
"47",2022-01-16,20.7814803665808,22.4070252488887,24.1597216198195,20.3607
"48",2022-01-17,20.7780197572247,22.4197458868675,24.191189127007,20.3607
"49",2022-01-18,20.7747285587219,22.4324559170665,24.2224622597954,20.3118
"50",2022-01-19,20.771601230349,22.445155348997,24.2535466117335,20.3002
"51",2022-01-20,20.7686325023851,22.4578441922963,24.2844475055127,20.403
"52",2022-01-21,20.7658173581776,22.470522457071,24.3151700115909,20.46
"53",2022-01-22,20.7631510167816,22.4831901532435,24.3457189642527,20.4507
"54",2022-01-23,20.7606289177842,22.4958472906477,24.3760989769743,20.4507
"55",2022-01-24,20.7582467074876,22.5084938792541,24.4063144566865,20.4507
"56",2022-01-25,20.7560002258373,22.5211299290155,24.4363696165424,20.4598
"57",2022-01-26,20.7538854945245,22.5337554498565,24.4662684877924,20.6308
"58",2022-01-27,20.7518987061185,22.5463704517714,24.4960149308473,20.6683
"59",2022-01-28,20.7500362138869,22.5589749447761,24.5256126453626,20.6415
"60",2022-01-29,20.7482945223942,22.5715689388731,24.5550651795697,20.7383
"61",2022-01-30,20.7466702788698,22.5841524440947,24.5843759389949,20.7383
"62",2022-01-31,20.7451602651626,22.5967254705054,24.6135481945086,20.7383
"63",2022-02-01,20.7437613902465,22.6092880281774,24.6425850897724,20.8597
"64",2022-02-02,20.7424706832841,22.6218401271984,24.6714896481899,20.6352
"65",2022-02-03,20.741285287171,22.6343817776797,24.7002647793789,20.58
"66",2022-02-04,20.7402024525064,22.6469129897488,24.7289132851869,20.6003
"67",2022-02-05,20.7392195319747,22.6594337735485,24.7574378653072,20.5562
"68",2022-02-06,20.7383339751037,22.6719441392408,24.7858411225284,20.5562
"69",2022-02-07,20.73754332336,22.6844440970048,24.8141255676356,20.5562
"70",2022-02-08,20.73684520556,22.696933657036,24.842293623997,20.5562
"71",2022-02-09,20.7362373335746,22.709412829547,24.870347631862,20.7325
"72",2022-02-10,20.7357174983008,22.7218816247675,24.8982898523891,20.6413
