Estación,Retiros,Arribos,Genero M,Genero F,Edad Promedio
342,1198,1255,978,214,38.99248747913189
343,742,672,559,178,36.6388140161725
344,599,547,447,146,33.9432387312187
345,752,777,498,251,35.422872340425535
346,554,497,345,208,36.494584837545126
347,1700,1710,1296,400,35.91
348,1158,1107,846,311,35.310017271157164
349,915,719,691,218,33.68196721311475
35,3838,3903,2943,787,35.98280354351225
350,969,849,658,302,37.75335397316822
351,2343,2392,1881,456,35.029022620571915
352,1014,860,755,257,34.30966469428008
353,659,554,495,160,36.277693474962064
354,1362,1347,901,450,35.68281938325991
355,1088,1074,722,365,32.7858455882353
356,1684,1757,1243,441,37.95665083135392
357,1395,1348,1065,328,35.4989247311828
358,1027,915,781,238,34.43524829600779
359,2485,2470,1902,566,36.34486921529175
36,6726,6948,4645,1965,37.474427594409754
360,1424,1464,1102,311,36.488061797752806
361,930,870,720,204,34.64301075268817
362,593,534,364,209,32.6070826306914
363,1243,1157,835,400,34.46339501206758
364,898,731,574,321,33.14253897550111
365,1690,1724,1207,470,33.887573964497044
366,1125,1079,680,440,35.376
367,889,814,569,312,35.8548931383577
368,819,633,477,332,38.124542124542124
369,2915,2742,1943,946,34.00034305317324
37,4017,3998,2832,1100,36.69828230022405
370,1073,1036,705,354,34.2264678471575
371,1193,1104,795,392,37.12321877619447
372,2215,2537,1656,557,35.65553047404063
373,806,880,593,208,35.93424317617866
374,1612,1651,1226,379,34.96029776674938
375,970,1097,795,153,33.656701030927834
376,607,569,417,187,35.17462932454695
377,1634,1661,1039,593,37.35006119951041
378,660,605,532,128,36.61363636363637
379,971,887,567,400,34.41194644696189
38,6225,6629,4628,1522,35.84369477911647
380,720,607,459,250,37.19722222222222
381,1454,1347,1143,301,32.81155433287483
382,1144,903,761,375,32.84702797202797
383,860,803,569,290,36.438372093023254
384,2451,2169,1760,676,35.152998776009795
385,2936,2757,2007,910,34.19618528610354
386,2184,1907,1553,619,36.0782967032967
387,827,822,616,205,34.39540507859734
388,631,578,438,192,39.15372424722663
389,2145,2533,1429,704,36.17202797202797
39,2715,2685,1809,813,36.882136279926335
390,4813,4329,3449,1330,34.49470184915853
391,3328,3432,2555,754,34.69591346153846
392,1834,1833,1340,476,36.47328244274809
393,1284,1281,958,316,34.06542056074766
394,1476,1387,1141,320,32.97289972899729
395,1227,1211,937,289,35.229828850855746
396,1534,1506,1123,406,34.628422425032596
397,1010,987,691,314,35.48712871287129
398,3085,2994,2149,923,35.567585089141005
399,1141,1112,754,379,33.930762489044696
4,2513,2904,1589,882,36.03740549144449
40,3461,3656,2697,708,36.739092747760765
400,1246,1294,771,468,36.29213483146067
401,961,1040,604,354,37.103017689906345
402,1265,1118,953,308,35.47667984189723
403,412,336,296,114,34.75
404,2466,2486,1824,604,36.14274128142741
405,2474,2405,1870,569,34.51455133387227
406,426,433,356,67,32.751173708920184
407,718,703,546,166,37.1016713091922
408,1187,1240,825,348,34.006739679865206
409,1052,1102,696,349,35.30228136882129
41,8685,7641,5879,2331,36.00886586067933
410,247,282,178,65,33.25910931174089
411,200,292,134,63,35.75
412,1096,1338,748,338,36.98996350364963
413,1475,1489,1142,333,32.827118644067795
414,1350,1195,1015,323,35.907407407407405
415,929,878,593,328,35.9924650161464
416,1206,1122,898,299,35.749585406301826
417,848,673,630,202,34.345518867924525
418,432,421,308,117,37.62731481481482
419,712,933,527,177,35.32865168539326
42,2300,2378,1474,761,36.100869565217394
420,2829,2685,2052,758,33.96465182043125
421,1129,772,922,186,36.13817537643933
422,705,573,545,152,34.12765957446808
423,632,500,495,136,34.32911392405063
424,629,599,450,177,36.24165341812401
425,1447,1575,1082,356,38.96199032480995
426,1253,1279,816,430,34.962490023942536
427,1452,1407,1139,298,34.412534435261705
428,1164,1127,606,545,35.310137457044675
429,655,733,534,120,38.50381679389313
43,5774,6500,3801,1361,34.46570834776585
430,1468,2084,972,471,34.74182561307902
432,1264,1363,970,272,38.19303797468354
433,1312,1269,884,428,37.23704268292683
434,895,862,665,226,37.26927374301676
435,617,627,513,102,34.78768233387358
436,1473,1504,1136,330,35.64154786150713
437,581,491,398,183,37.80722891566265
438,726,605,479,243,37.103305785123965
439,1618,1799,1219,390,36.29728059332509
44,2893,2778,1840,915,36.10093328724508
441,807,863,667,127,36.86988847583643
442,89,115,57,29,35.29213483146067
443,811,1080,562,187,34.72872996300863
444,791,786,510,259,37.33122629582807
445,659,694,469,161,37.77238239757208
446,1220,1367,775,406,34.790983606557376
447,2772,2754,1812,884,36.81240981240981
448,1857,1714,1439,404,41.13839526117393
449,2688,2744,2106,530,36.753348214285715
45,5447,5366,3787,1534,38.12116761520103
450,2191,2204,1760,390,36.583295298950254
451,790,499,577,203,35.268354430379745
452,1375,1248,1039,335,37.36218181818182
453,1337,567,874,441,36.07030665669409
454,993,934,784,198,33.522658610271904
455,2599,1911,1872,696,36.54713351288957
456,922,422,618,297,36.0824295010846
457,669,524,520,147,33.1270553064275
458,1252,928,863,383,34.96166134185304
459,1180,915,909,256,33.25593220338983
46,3773,4017,2431,1173,35.013782136231114
460,2334,1455,1726,600,34.26992287917738
461,2006,1410,1606,391,35.33200398803589
462,1179,1165,909,242,32.89228159457167
463,1660,1627,1046,591,33.2566265060241
464,1092,1052,878,202,32.90201465201465
465,1644,1569,1210,433,35.46411192214112
466,971,844,671,297,34.20391349124614
467,1033,1025,765,247,34.81800580832527
468,1486,1500,1196,287,37.572678331090174
469,497,483,391,100,37.31991951710262
47,5257,5553,3417,1521,35.34715617272209
470,1380,1469,1002,363,36.75144927536232
471,1464,1355,1232,222,34.575819672131146
472,873,884,685,185,35.15120274914089
473,978,753,826,148,36.77402862985685
474,2492,2410,2053,435,36.49237560192616
475,1335,1308,1001,322,33.22172284644195
476,2673,2675,1954,670,35.86008230452675
477,1627,1772,1188,397,31.81438229870928
478,1185,1009,910,270,38.79324894514768
479,745,769,401,344,39.6013422818792
48,3436,3420,2519,827,38.28550640279395
480,2237,2256,1565,657,34.58560572194904
49,3972,3517,2713,1106,36.53323262839879
5,2696,2796,1992,665,37.20919881305638
50,2096,1965,1456,596,37.17270992366412
51,3399,3895,2456,881,37.73109738158282
52,4495,5242,3267,947,36.203781979977755
53,5403,5586,4022,1305,36.21543586896169
54,4123,4449,2833,1149,35.94106233325249
55,2263,2444,1637,460,37.00220945647371
56,5513,5758,3909,1418,35.48811899147469
